,ID,SEX,AGE,FO,TIP,astr1_1,astr1_2,astr1_3,astr1_4,astr1_5,astr1_6,astr1_7,astr1_8,astr1_9,astr1_10,astr1_11,astr1_12,astr1_13,astr1_14,astr2,astr3,astr4,TV,d1,EDU,DOHOD_0,PROF1,PROF2,PROF3,Q515_98T,weight1
11,07247a4b868cefc3,Женский,35.0,Сибирский федеральный округ,Город с численностью жителей миллион и более человек,В Бога,,,,,,,,,,,,,,"Нет, я против этого, считаю это чепухой",Да,"Нет, мне это неинтересно",Ежедневно менее четырех часов в день,Несколько раз в неделю,"Среднее профессиональное (техникум, колледж, ПТУ)",Среднее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Промышленность, производство (в т.ч. добывающие, обрабатывающие отрасли, энергетика) Включает в том числе: Завод, ком...",,0.9451666264833208
12,07247a4f974ce05c,Женский,36.0,Сибирский федеральный округ,Город с численностью от 50 тысяч до 100 тысяч,Не верю ни в какие сверхъестественные силы и явления,,,,,,,,,,,,,,"Нет, мне это неинтересно",Да,"Да, иногда просматриваю, интересно, что предсказывают",Несколько раз в неделю,Провожу в интернете более четырех часов ежедневно,Среднее общее (10 или 11 классов школы с аттестатом),Хорошее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Промышленность, производство (в т.ч. добывающие, обрабатывающие отрасли, энергетика) Включает в том числе: Завод, ком...",,1.0587258280913967
13,07247acc748ce4e8,Мужской,68.0,Сибирский федеральный округ,Село,В судьбу,,,,,,,,,,,,,,"Нет, мне это неинтересно",Да,"Да, иногда просматриваю, интересно, что предсказывают",Смотрю более четырех часов ежедневно,Не пользуюсь,"Среднее профессиональное (техникум, колледж, ПТУ)",Среднее,Неработающий пенсионер (в том числе по инвалидности),,,,1.3110175802519968
14,07247ad3b4cce596,Женский,60.0,Уральский федеральный округ,Город с численностью жителей миллион и более человек,В Бога,,,,,,,,,,,,,,"Нет, мне это неинтересно",Да,"Нет, мне это неинтересно",Ежедневно менее четырех часов в день,Eжедневно менее четырех часов в день,Незаконченное высшее (с 3-го курса вуза) или законченное высшее,Среднее,Неработающий пенсионер (в том числе по инвалидности),,,,1.1083355432265285
15,07247b53e68cea31,Мужской,51.0,Сибирский федеральный округ,Село,В судьбу,,,,,,,,,,,,,,"Нет, я против этого, считаю это чепухой",Да,"Нет, мне это неинтересно",Несколько раз в неделю,Не пользуюсь,"Среднее профессиональное (техникум, колледж, ПТУ)",Среднее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Промышленность, производство (в т.ч. добывающие, обрабатывающие отрасли, энергетика) Включает в том числе: Завод, ком...",,0.8850536322568847
16,07247ba6580ceda8,Женский,35.0,Дальневосточный федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,В Бога,В приметы,,,,,,,,,,,,,"Да, случалось, делал (а) это для развлечения",Да,"Да, иногда просматриваю, интересно, что предсказывают",Смотрю более четырех часов ежедневно,Провожу в интернете более четырех часов ежедневно,Среднее общее (10 или 11 классов школы с аттестатом),Хорошее,"Нахожусь в декретном отпуске, отпуске по уходу за ребенком",,,,0.9160279601680718
17,07247bd6b78ce0a4,Мужской,49.0,Уральский федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,Затрудняюсь ответить,,,,,,,,,,,,,,"Нет, мне это неинтересно",Да,"Нет, мне это неинтересно",Ежедневно менее четырех часов в день,Eжедневно менее четырех часов в день,Незаконченное высшее (с 3-го курса вуза) или законченное высшее,Среднее,"Предприниматель, собственник бизнеса",,"Строительство Включает в том числе: архитектура, проектирование, дизайн интерьера",,0.45249596919704144
18,07247be568cce178,Мужской,36.0,Уральский федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,Во что-то еще,,,,,,,,,,,,,,"Нет, мне это неинтересно",Да,"Нет, я против этого, считаю это антинаучным и вредным",Не смотрю,Eжедневно менее четырех часов в день,Незаконченное высшее (с 3-го курса вуза) или законченное высшее,Плохое,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...",Другое (укажите),энергетика,0.5051275773296582
19,07247beb290ce27c,Мужской,29.0,Сибирский федеральный округ,Город с численностью от 500 тысяч до 950 тысяч,Не верю ни в какие сверхъестественные силы и явления,,,,,,,,,,,,,,"Нет, я против этого, считаю это чепухой",Да,"Нет, мне это неинтересно",Ежедневно менее четырех часов в день,Eжедневно менее четырех часов в день,Незаконченное высшее (с 3-го курса вуза) или законченное высшее,Среднее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Промышленность, производство (в т.ч. добывающие, обрабатывающие отрасли, энергетика) Включает в том числе: Завод, ком...",,1.0300594546656257
20,07247bedf3cce30c,Мужской,35.0,Уральский федеральный округ,Город с численностью от 500 тысяч до 950 тысяч,Не верю ни в какие сверхъестественные силы и явления,,,,,,,,,,,,,,"Нет, мне это неинтересно",Да,"Нет, мне это неинтересно",Не смотрю,Провожу в интернете более четырех часов ежедневно,"Два и более высших образования, ученая степень кандидата или доктора наук",Хорошее,"Предприниматель, собственник бизнеса",,"Образование, наука Включает в том числе: ясли, детский сад, школа, ССУЗ, вуз, научно-исследовательские институты, центры",,0.5343494346212194
21,07247bfcc60ce409,Мужской,32.0,Дальневосточный федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,В приметы,,,,,,,,,,,,,,"Нет, мне это неинтересно",Да,"Нет, мне это неинтересно",Ежедневно менее четырех часов в день,Провожу в интернете более четырех часов ежедневно,"Среднее профессиональное (техникум, колледж, ПТУ)",Хорошее,(НЕ ЗАЧИТЫВАТЬ) Отказ от ответа,,,,1.003393309327844
22,07247ca7354cea50,Мужской,51.0,Уральский федеральный округ,Город с численностью от 50 тысяч до 100 тысяч,Не верю ни в какие сверхъестественные силы и явления,,,,,,,,,,,,,,"Нет, я против этого, считаю это чепухой",Да,"Нет, я против этого, считаю это антинаучным и вредным",Не смотрю,Eжедневно менее четырех часов в день,Незаконченное высшее (с 3-го курса вуза) или законченное высшее,Среднее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Промышленность, производство (в т.ч. добывающие, обрабатывающие отрасли, энергетика) Включает в том числе: Завод, ком...",,0.7292345651542806
23,07247ce2be0cedcd,Мужской,44.0,Уральский федеральный округ,Город с численностью от 500 тысяч до 950 тысяч,В Бога,,,,,,,,,,,,,,"Да, случалось, делал (а) это для развлечения",Да,"Нет, мне это неинтересно",Ежедневно менее четырех часов в день,Провожу в интернете более четырех часов ежедневно,Незаконченное высшее (с 3-го курса вуза) или законченное высшее,Среднее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Информационные технологии, связь, интернет Включает в том числе: Программирование /создание программного обеспечения,...",,0.5343494346212194
24,07247d84fecce468,Мужской,65.0,Дальневосточный федеральный округ,Город с численностью от 500 тысяч до 950 тысяч,В Бога,В судьбу,,,,,,,,,,,,,"Да, случалось, делал (а) это для развлечения",Да,"Нет, мне это неинтересно",Ежедневно менее четырех часов в день,Несколько раз в неделю,Незаконченное высшее (с 3-го курса вуза) или законченное высшее,Среднее,Неработающий пенсионер (в том числе по инвалидности),,,,0.6059980170753121
25,07247e3b6a8cea0e,Мужской,37.0,Сибирский федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,Не верю ни в какие сверхъестественные силы и явления,,,,,,,,,,,,,,"Нет, мне это неинтересно",Да,"Нет, мне это неинтересно",Несколько раз в неделю,Eжедневно менее четырех часов в день,"Среднее профессиональное (техникум, колледж, ПТУ)",Среднее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Строительство Включает в том числе: архитектура, проектирование, дизайн интерьера",,0.4330367306586866
26,07247eaa564ced41,Мужской,67.0,Сибирский федеральный округ,Село,В Бога,,,,,,,,,,,,,,"Да, мне это очень интересно, серьезно к этому отношусь",Да,"Да, иногда просматриваю, интересно, что предсказывают",Ежедневно менее четырех часов в день,Несколько раз в неделю,"Среднее профессиональное (техникум, колледж, ПТУ)",Среднее,Неработающий пенсионер (в том числе по инвалидности),,,,1.3110175802519968
27,07247ead578ced90,Мужской,37.0,Сибирский федеральный округ,Город с численностью от 500 тысяч до 950 тысяч,В приметы,,,,,,,,,,,,,,"Нет, мне это неинтересно",Да,"Да, иногда просматриваю, интересно, что предсказывают",Ежедневно менее четырех часов в день,Eжедневно менее четырех часов в день,Незаконченное высшее (с 3-го курса вуза) или законченное высшее,Хорошее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в БЮДЖЕТНОЙ организации, которая безвозмездно оказывает услуги населению (детский сад, общеобразовательная,...","Здравоохранение Включает в том числе: поликлиники, медицинские центры, больницы, стационары,  «Скорая помощь», санатории",,0.6198599543493332
28,07247f07f6cce094,Мужской,45.0,Сибирский федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,В Бога,В некую сверхъестественную силу,,,,,,,,,,,,,"Нет, я против этого, считаю это чепухой",Да,"Да, иногда просматриваю, интересно, что предсказывают",Несколько раз в неделю,Провожу в интернете более четырех часов ежедневно,Незаконченное высшее (с 3-го курса вуза) или законченное высшее,Хорошее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Промышленность, производство (в т.ч. добывающие, обрабатывающие отрасли, энергетика) Включает в том числе: Завод, ком...",,0.5249076964188429
29,07247f48ef4ce382,Мужской,53.0,Сибирский федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,В Бога,В судьбу,,,,,,,,,,,,,"Да, мне это очень интересно, серьезно к этому отношусь",Да,"Да, иногда просматриваю, интересно, что предсказывают",Ежедневно менее четырех часов в день,Не пользуюсь,Основное общее образование: окончил 9 (раньше 8) классов,Среднее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Промышленность, производство (в т.ч. добывающие, обрабатывающие отрасли, энергетика) Включает в том числе: Завод, ком...",,0.38791660549042006
30,07247f76c1cce570,Женский,36.0,Уральский федеральный округ,Город с численностью от 500 тысяч до 950 тысяч,В Бога,,,,,,,,,,,,,,"Да, случалось, делал (а) это для развлечения",Да,"Да, иногда просматриваю, интересно, что предсказывают",Несколько раз в месяц,Eжедневно менее четырех часов в день,"Среднее профессиональное (техникум, колледж, ПТУ)",Плохое,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Общественное питание, ресторанный и гостиничный бизнес Включает в том числе: Кафе, ресторан, доставка продуктов питан...",,0.7188253881429453
31,07248049e0cceceb,Мужской,68.0,Сибирский федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,В Бога,,,,,,,,,,,,,,"Нет, я против этого, считаю это чепухой",Да,"Да, иногда просматриваю, интересно, что предсказывают",Ежедневно менее четырех часов в день,Eжедневно менее четырех часов в день,Незаконченное высшее (с 3-го курса вуза) или законченное высшее,Среднее,Неработающий пенсионер (в том числе по инвалидности),,,,0.7775384371451776
